ID,Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source
UN,ELEC,City of Sacramento - Capitol Parking Garage,1015 L St,"At 10th and L, 2nd Level",Sacramento,CA,95814,Public,Garage business hours; pay lot,,,,,2,,,3 SP Inductive,Unknown,,GPS,38.5783802,-121.4926,5/9/2019,1498,2019-05-14 21:16:45 UTC,LG,,,8/20/18,,,,,NEMA520,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,,,,,,,,,,
UN,ELEC,Hilton - Los Angeles International Airport,5711 W Century Blvd,,Los Angeles,CA,90045,Public,24 hours daily; for guest use only; see valet for access,,,,,,1,,,Unknown,,200-9,33.946181,-118.38161,2/6/2019,7180,2019-05-14 21:16:45 UTC,P,,,8/1/15,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,,,,,,,,,,
UN,ELEC,Helms Bakery Building,8800 Venice Blvd,,Los Angeles,CA,90034,Public,24 hours daily,,,,,,6,,,Unknown,,200-9,34.029971,-118.385231,3/7/2019,21525,2019-05-14 21:16:45 UTC,P,,,4/25/17,,,,,J1772,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,$1 per hour for first two hours; $3 per hour thereafter,,,,,,,,,
UN,ELEC,Citrus Heights City Hall,6360 Fountain Square Dr,,Citrus Heights,CA,95621,Public,24 hours daily,,,,,,3,,1 SP Inductive,Unknown,,GPS,38.67995,-121.2989,5/3/2018,25519,2019-05-14 21:16:45 UTC,LG,,,2/1/16,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,
UN,ELEC,City of Lacey - City Hall Parking,420 College St,"At 3rd Ave SE, next to police station",Lacey,WA,98503,Public,24 hours daily,,,,,4,,,,Unknown,,200-9,47.044011,-122.822404,7/9/2019,33351,2019-07-09 17:26:18 UTC,LG,,,1/15/18,,,,,NEMA520,US,,,,Public,,public,,,MUNI_GOV,,,,,,,,,,,,,,,,
UN,ELEC,Discovery Center of Idaho,131 W Myrtle St,,Boise,ID,83702,Public,24 hours daily,,,,,,2,,,Unknown,,200-8,43.609048,-116.199508,3/7/2019,34106,2019-05-14 21:16:45 UTC,P,,,4/20/17,,,,,J1772,US,,,,Public,,public,,,MUSEUM,,,,,,,Free,,,,,,,,,
UN,ELEC,Alan Jay Nissan,1700 Flare Rd,,Sebring,FL,33870,Public - Call ahead,Dealership business hours,,,,,,1,1,,Unknown,,GPS,27.485756,-81.481603,6/5/2018,39975,2019-05-14 21:16:45 UTC,P,,,1/16/17,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
UN,ELEC,Younger Nissan,7418 Grove Rd,,Frederick,MD,21704,Public - Call ahead,Dealership business hours,,,,,,1,,,Unknown,,200-9,39.391175,-77.407835,7/9/2018,40025,2019-05-14 21:16:45 UTC,P,,,6/26/18,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
UN,ELEC,Colonial Honda of Dartmouth,225 State Rd,,North Dartmouth,MA,2747,Public - Call ahead,Dealership business hours,,,,,,1,,,Unknown,,200-9,41.638274,-70.979635,10/4/2018,41582,2019-05-14 21:16:45 UTC,P,,,1/15/17,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
UN,ELEC,AAA Car Care Plus,8120 Main St,,Clarence,NY,14221,Public,24 hours daily,,,,,,1,,,Unknown,,200-8,42.965117,-78.69245,6/6/2019,42993,2019-06-06 17:52:59 UTC,P,,,12/17/18,,,,,J1772,US,,,,Public,,public,,,SHOPPING_CENTER,,,,,,,Free,,,,,,,,,
